Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Mid,MA_50,MA_200
2025-05-22 00:00:00+05:30,1415.5464438973825,1418.1361984129633,1391.3431818014155,1403.79345703125,12134466,0.0,0.0,,,,,,,,,
2025-05-23 00:00:00+05:30,1401.0045498118507,1428.0964217220903,1401.0045498118507,1421.124267578125,6474883,0.0,0.0,,,,,,,,,
2025-05-26 00:00:00+05:30,1426.3034970063507,1435.2676949623963,1419.430920923106,1429.0924072265625,4842944,0.0,0.0,,,,,,,,,
2025-05-27 00:00:00+05:30,1420.4269591196573,1431.2836233071982,1408.275539274527,1416.44287109375,12640414,0.0,0.0,,,,,,,,,
2025-05-28 00:00:00+05:30,1414.4508509493858,1416.9409060075968,1405.0882196135674,1407.279541015625,5944611,0.0,0.0,,,,,,,,,
2025-05-29 00:00:00+05:30,1406.4826358531975,1414.3512339364067,1402.996558868143,1412.1600341796875,13771917,0.0,0.0,,,,,,,,,
2025-05-30 00:00:00+05:30,1412.3591925541664,1424.9090454066043,1404.0921613404494,1415.2476806640625,13788484,0.0,0.0,,,,,,,,,
2025-06-02 00:00:00+05:30,1406.4826830156508,1411.8612262898896,1390.0483195350275,1408.0762939453125,8098668,0.0,0.0,,,,,,,,,
2025-06-03 00:00:00+05:30,1416.6421539546416,1420.8253977642241,1397.8173136420837,1399.908935546875,11252626,0.0,0.0,,,,,,,,,
2025-06-04 00:00:00+05:30,1409.0722382665938,1420.0284799827916,1400.506473605418,1417.8372802734375,8126827,0.0,0.0,,,,,,,,,
2025-06-05 00:00:00+05:30,1422.3193687346825,1448.913106617055,1417.9368477633755,1436.662109375,13716817,0.0,0.0,,,,,,,,,
2025-06-06 00:00:00+05:30,1435.2676355449807,1445.7258660607492,1431.28354772945,1437.7576904296875,8182161,0.0,0.0,,,,,,,,,
2025-06-09 00:00:00+05:30,1451.204075048637,1451.70208605586,1439.5506661134996,1443.0367431640625,7885125,0.0,0.0,,,,,,,,,
2025-06-10 00:00:00+05:30,1444.2318404180787,1448.1163503747662,1430.2875329933524,1432.777587890625,7913181,0.0,0.0,61.28533521053016,,,,,,,,
2025-06-11 00:00:00+05:30,1440.0485867347081,1462.7578142878924,1437.3592545136698,1443.13623046875,8195700,0.0,0.0,65.98918548891297,,,,,,,,
2025-06-12 00:00:00+05:30,1447.7179200254843,1451.2039968882907,1428.6939248911115,1435.865234375,8828114,0.0,0.0,60.43825662811072,,,,,,,,
2025-06-13 00:00:00+05:30,1418.335338487147,1429.7895915718395,1408.6739736495979,1422.2198486328125,9757276,0.0,0.0,51.656274235330535,,,,,,,,
2025-06-16 00:00:00+05:30,1421.223780491138,1436.6621211041454,1418.7337255535563,1432.0804443359375,8458093,0.0,0.0,56.56757703007103,,,,,,,,
2025-06-17 00:00:00+05:30,1442.2398094911548,1442.2398094911548,1420.12817043809,1425.506591796875,10366599,0.0,0.0,52.722095374425926,,,,,,,,
2025-06-18 00:00:00+05:30,1424.3114328610282,1437.0605628519918,1420.028489708749,1424.4110107421875,6681735,0.0,0.0,52.0865912948476,,,,1448.6085501685232,1397.8330758080394,1423.2208129882813,,
2025-06-19 00:00:00+05:30,1424.4110453044384,1434.1721095891817,1420.0285241646616,1427.598388671875,10007230,0.0,0.0,53.83023240432288,,,,1448.2274122152025,1400.5947069254225,1424.4110595703125,,
2025-06-20 00:00:00+05:30,1425.3075053013417,1465.148385952672,1422.4190171371765,1460.367431640625,29010635,0.0,0.0,67.09014975036627,,,,1454.802602786504,1397.9438327603712,1426.3732177734375,,
2025-06-23 00:00:00+05:30,1447.2199506188397,1457.9770367383994,1436.2637087352834,1451.0048828125,5989078,0.0,0.0,61.64285477781549,,,,1457.8545841406824,1397.0830989647864,1427.4688415527344,,
2025-06-24 00:00:00+05:30,1459.1721495093714,1469.1323689599471,1437.359244595668,1445.0286865234375,16402744,0.0,0.0,58.38423870942329,,,,1459.7603598904489,1398.0359047579886,1428.8981323242188,,
2025-06-25 00:00:00+05:30,1458.1762135192969,1466.5428226679085,1454.690136506102,1461.463134765625,7525851,0.0,0.0,64.0174646432339,,,,1463.8833348584276,1399.3312891650098,1431.6073120117187,,
2025-06-26 00:00:00+05:30,1463.2558362824063,1492.8377614283193,1459.2717484446844,1489.3516845703125,14657893,0.0,0.0,71.15338074966654,13.239106307737075,,,1475.1329925410478,1395.8007965214524,1435.46689453125,,
2025-06-27 00:00:00+05:30,1493.4353527246628,1515.9454247275912,1490.9452978220222,1509.3717041015625,11117052,0.0,0.0,74.98805661641464,17.154780908778775,,,1490.127343441287,1390.218847964963,1440.173095703125,,
2025-06-30 00:00:00+05:30,1507.7781788170053,1518.734421010171,1490.0489382705405,1494.630615234375,8409527,0.0,0.0,67.8372993079454,18.851193738893016,,,1497.4875432371714,1391.514080297985,1444.5008117675782,,
2025-07-01 00:00:00+05:30,1494.630607775488,1525.3081343971446,1494.132596769193,1522.320068359375,10368523,0.0,0.0,73.03819758040491,22.17430895492089,,,1509.5385060829906,1391.7042307334157,1450.6213684082031,,
2025-07-02 00:00:00+05:30,1522.3200879079554,1523.9136988316197,1502.6983810571346,1512.75830078125,6361002,0.0,0.0,68.89512240092279,23.762428488825662,,,1518.1238493545852,1392.6109895126024,1455.3674194335938,,
2025-07-03 00:00:00+05:30,1514.7502729656235,1525.8060926058627,1506.9812529023668,1511.76220703125,11283291,0.0,0.0,68.4594571381989,24.65642430896378,,,1525.8162466578183,1392.4286019749943,1459.1224243164063,,
2025-07-04 00:00:00+05:30,1517.9375659885409,1523.913698138102,1511.1645675851503,1521.2244873046875,6603501,0.0,0.0,70.37587522724328,25.830689268959077,,,1534.4184873319537,1392.173040988359,1463.2957641601563,,
2025-07-07 00:00:00+05:30,1520.5271677380254,1538.65484117058,1518.933556847784,1535.367919921875,7251074,0.0,0.0,73.01515111044408,27.58458163421301,,,1544.9187177340787,1390.905928262015,1467.9123229980469,,
2025-07-08 00:00:00+05:30,1529.8897875590692,1538.7544076502807,1524.1128113419518,1531.4833984375,7171261,0.0,0.0,71.1404869356204,28.33448326482676,23.240432033442875,5.094051231383883,1552.8096224057108,1392.8856046450705,1472.8476135253907,,
2025-07-09 00:00:00+05:30,1530.586937987722,1544.8301010282516,1504.0927774643353,1512.9573974609375,8870660,0.0,0.0,62.852283698049185,27.12125531045558,24.016596688845418,3.104658621610163,1556.9015579170134,1395.7757858329867,1476.338671875,,
2025-07-10 00:00:00+05:30,1513.654605815878,1518.6347158851345,1501.5031858807802,1511.16455078125,10047129,0.0,0.0,62.098287194278846,25.71862734542674,24.357002820161682,1.3616245252650572,1559.7819112497214,1400.4253641409036,1480.1036376953125,,
2025-07-11 00:00:00+05:30,1505.9852937598653,1508.9733598189127,1484.3716645666439,1489.2520751953125,7234991,0.0,0.0,53.630110031651704,22.578608780837385,24.001324012296823,-1.4227152314594385,1558.6239011140785,1408.2865969327966,1483.4552490234375,,
2025-07-14 00:00:00+05:30,1486.263916129696,1494.0329360309418,1473.2160528053016,1477.7977294921875,10311846,0.0,0.0,49.80661226138892,18.947437213678086,22.990546652573077,-4.043109438894991,1557.2110576608056,1414.2711689016942,1485.74111328125,,
2025-07-15 00:00:00+05:30,1480.2878335086834,1490.5469086437597,1476.503022895967,1479.4910888671875,8132454,0.0,0.0,50.3699391666973,16.021659813895894,21.59676928483764,-5.575109470941747,1554.478075344049,1422.4026009254821,1488.4403381347656,,
2025-07-16 00:00:00+05:30,1467.1403332858122,1485.068728397248,1465.6463003598592,1479.690185546875,10409983,0.0,0.0,50.44036656338472,13.562683411718126,19.98995211021374,-6.427268698495613,1550.5826342114779,1431.825959538522,1491.204296875,,
2025-07-17 00:00:00+05:30,1481.4830970988435,1483.674296790977,1468.0368005528198,1470.52685546875,11854613,0.0,0.0,47.12577992525209,10.75059655578275,18.142080999327543,-7.391484443544794,1546.1117609284438,1440.5896795012436,1493.3507202148437,,
2025-07-18 00:00:00+05:30,1478.8934598804974,1478.8934598804974,1463.2558421043927,1470.12841796875,10296318,0.0,0.0,46.98121366984059,8.393096494229212,16.192284098307876,-7.799187604078664,1545.540319294569,1442.137219767931,1493.83876953125,,
2025-07-21 00:00:00+05:30,1459.1722169809668,1470.128458883213,1417.4388712363768,1422.9169921875,22442744,0.0,0.0,33.76413221228036,2.6842508395875484,13.490677446563812,-10.806426606976263,1549.91647901476,1434.9522709852401,1492.434375,,
2025-07-22 00:00:00+05:30,1421.721828538219,1426.2039275426996,1405.0881881707605,1407.179931640625,20396320,0.0,0.0,30.667103209293032,-3.07445928490597,10.177650100269856,-13.252109385175826,1556.0710999394912,1425.0127745722277,1490.5419372558595,,
2025-07-23 00:00:00+05:30,1420.3273163904719,1420.3273163904719,1408.7734859597779,1418.932861328125,8354596,0.0,0.0,35.43057711613629,-6.613676993869149,6.819384681442056,-13.433061675311205,1560.0564699235151,1416.7743772444537,1488.4154235839844,,
2025-07-24 00:00:00+05:30,1413.554298653669,1417.3392306864348,1390.4466381154343,1397.3192138671875,14740507,0.0,0.0,31.187064031923654,-11.035364432318374,3.2484348586899703,-14.283799291008345,1565.7117141371125,1401.9158859605438,1483.8138000488282,,
2025-07-25 00:00:00+05:30,1393.3351272649268,1395.4267490386208,1378.593953801798,1386.1636962890625,11854722,0.0,0.0,29.240458966752414,-15.263789161753493,-0.4540099453987225,-14.809779216354771,1568.932824837515,1386.3739744788913,1477.6533996582032,,
2025-07-28 00:00:00+05:30,1386.7614543919697,1402.199795115413,1379.490445288333,1382.080078125,7748361,0.0,0.0,28.538243040921742,-18.728469938224862,-4.108901943963951,-14.619567994260912,1571.8981112629958,1372.1536343424727,1472.0258728027343,,
2025-07-29 00:00:00+05:30,1377.4984422704579,1414.550412474214,1377.4984422704579,1411.4627685546875,10750072,0.0,0.0,39.75002137383779,-18.885615242343192,-7.0642446036398,-11.821370638703392,1566.8784624095958,1366.0875532154043,1466.4830078125,,
2025-07-30 00:00:00+05:30,1412.458776601272,1417.6381639620695,1395.7256799199,1404.4906005859375,7209849,0.0,0.0,38.21777983240094,-19.349698435471737,-9.521335370006188,-9.828363065465549,1562.5701622967772,1359.5690833086915,1461.0696228027343,1449.194072265625,
2025-07-31 00:00:00+05:30,1382.5780559389787,1397.0203743336986,1376.7015020683227,1384.669677734375,17065827,0.0,0.0,34.18365713513681,-21.07394323379708,-11.831856942764368,-9.242086291032713,1558.6105068746201,1350.8194858011611,1454.7149963378906,1448.8115966796875,
2025-08-01 00:00:00+05:30,1381.3828853186424,1400.3073026227253,1378.7932525308158,1388.15576171875,10321171,0.0,0.0,35.47374347615417,-21.906596211124224,-13.846804796436341,-8.059791414687883,1551.1078026746236,1345.015317442564,1448.0615600585938,1448.1522265625,
2025-08-04 00:00:00+05:30,1389.5502251510159,1410.466686507784,1386.1637261382157,1405.885009765625,6312820,0.0,0.0,41.72938411947404,-20.89501284533503,-15.256446406216082,-5.63856643911895,1537.9313923670622,1345.2434367345002,1441.5874145507812,1447.6880786132813,
2025-08-05 00:00:00+05:30,1405.38696851784,1405.38696851784,1382.5780415934858,1386.1636962890625,9315972,0.0,0.0,37.387377072570786,-21.437552162629117,-16.492667557498688,-4.944884605130429,1524.1495098444097,1344.493349042309,1434.3214294433594,1447.0824951171876,
2025-08-06 00:00:00+05:30,1386.3630773472378,1390.3471654369864,1377.797312271222,1387.259521484375,5834312,0.0,0.0,37.7748174302334,-21.530899735668072,-17.500313993132565,-4.030585742535507,1512.4007816923865,1343.6722895966761,1428.0365356445313,1446.6820947265626,
2025-08-07 00:00:00+05:30,1382.1796145349972,1388.1557462486337,1360.5659868045632,1383.8729248046875,9976705,0.0,0.0,37.01256464729817,-21.628824780324294,-18.32601615057091,-3.3028086297533825,1498.894528474995,1344.4493802164113,1421.6719543457032,1446.1163525390625,
2025-08-08 00:00:00+05:30,1379.4904158119157,1391.6418351007062,1359.569976594415,1362.35888671875,8793606,0.0,0.0,32.522762434534414,-23.17528391014025,-19.29586970248478,-3.879414207655472,1490.110318354943,1340.5442714888068,1415.327294921875,1445.0585766601562,
2025-08-11 00:00:00+05:30,1364.5501609316866,1382.4785572067015,1355.7851185633474,1380.6856689453125,9997486,0.0,0.0,39.279854045404186,-22.660825855197572,-19.96886093302734,-2.691964922170232,1480.882560954169,1340.0608228348933,1410.4716918945312,1444.5107641601562,
2025-08-12 00:00:00+05:30,1376.4028464986861,1396.3232867936674,1369.7294260490362,1374.9088134765625,12244664,0.0,0.0,37.988502023029085,-22.460349173131817,-20.46715858104824,-1.9931905920835788,1469.6516162412074,1340.8335400087924,1405.242578125,1444.01076171875,
2025-08-13 00:00:00+05:30,1382.4785186353236,1386.2634508216695,1372.0202877666845,1377.0999755859375,7457021,0.0,0.0,38.810217340859154,-21.872528593863763,-20.748232583611344,-1.1242960102524187,1455.7295098416687,1344.4966254122376,1400.1130676269531,1443.196015625,
